ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601668.SH,20200410,5.300,5.320,5.240,5.250,5.290,-0.040,-0.756,923501.760,487028.353
601668.SH,20200409,5.330,5.340,5.280,5.290,5.310,-0.020,-0.377,807537.230,428286.182
601668.SH,20200408,5.320,5.350,5.290,5.310,5.350,-0.040,-0.748,956605.170,508596.540
601668.SH,20200407,5.310,5.370,5.280,5.350,5.240,0.110,2.099,1598325.030,851071.470
601668.SH,20200403,5.260,5.280,5.220,5.240,5.280,-0.040,-0.758,759281.560,398487.906
601668.SH,20200402,5.200,5.280,5.180,5.280,5.210,0.070,1.344,836889.840,437575.458
601668.SH,20200401,5.240,5.330,5.200,5.210,5.270,-0.060,-1.139,1038340.320,546990.649
601668.SH,20200331,5.390,5.400,5.240,5.270,5.360,-0.090,-1.679,1523348.460,808057.713
601668.SH,20200330,5.280,5.380,5.270,5.360,5.330,0.030,0.563,1660198.370,887521.320
601668.SH,20200327,5.260,5.420,5.210,5.330,5.190,0.140,2.697,2735114.480,1460058.161
601668.SH,20200326,5.230,5.240,5.170,5.190,5.270,-0.080,-1.518,1108462.090,576965.597
601668.SH,20200325,5.270,5.320,5.200,5.270,5.170,0.100,1.934,1925855.660,1012082.157
601668.SH,20200324,5.200,5.230,5.080,5.170,5.110,0.060,1.174,1772335.350,914279.963
601668.SH,20200323,5.080,5.190,5.070,5.110,5.220,-0.110,-2.107,1291372.480,662690.205
601668.SH,20200320,5.110,5.250,5.110,5.220,5.070,0.150,2.959,1967580.820,1018176.846
601668.SH,20200319,5.150,5.200,4.980,5.070,5.150,-0.080,-1.553,2459236.950,1246684.272
601668.SH,20200318,5.280,5.350,5.150,5.150,5.250,-0.100,-1.905,1962270.160,1028949.018
601668.SH,20200317,5.310,5.380,5.150,5.250,5.250,0.000,0.000,1974944.040,1035847.920
601668.SH,20200316,5.370,5.500,5.250,5.250,5.350,-0.100,-1.869,2603838.780,1400003.302
601668.SH,20200313,5.160,5.420,5.120,5.350,5.370,-0.020,-0.372,3033451.270,1596404.107
